,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Sparse,KK_W,500,15,61.081,53.073,58.282000000000004
1,Sparse,KK_W,1000,15,168.792,208.447,151.64000000000001
2,Sparse,KK_W,2000,15,665.881,782.9010000000001,558.582
3,Sparse,KK_W,3000,15,1459.441,1862.324,1370.68
4,Sparse,KK,500,15,48.488,62.359,45.01
5,Sparse,KK,1000,15,235.47400000000002,172.549,160.824
6,Sparse,KK,2000,15,495.407,779.766,617.349
7,Sparse,KK,3000,15,969.72,1592.407,998.945
8,Sparse,JIGGLE,500,15,49.392,48.874,54.855000000000004
9,Sparse,JIGGLE,1000,15,221.703,179.425,122.15
10,Sparse,JIGGLE,2000,15,606.615,781.618,534.737
11,Sparse,JIGGLE,3000,15,1614.4950000000001,1789.969,1276.155
12,Sparse,FRU,500,15,54.851,77.221,44.851
13,Sparse,FRU,1000,15,303.432,169.428,146.607
14,Sparse,FRU,2000,15,505.708,771.686,482.654
15,Sparse,FRU,3000,15,1183.016,1585.823,1030.844
16,Sparse,FR,500,15,186.104,58.444,71.843
17,Sparse,FR,1000,15,163.959,163.586,180.482
18,Sparse,FR,2000,15,630.825,734.037,537.472
19,Sparse,FR,3000,15,1302.077,1771.3500000000001,1166.903
20,Sparse,FDGE,500,15,78.09400000000001,53.855000000000004,51.980000000000004
21,Sparse,FDGE,1000,15,191.951,232.379,195.562
22,Sparse,FDGE,2000,15,698.646,878.683,737.086
23,Sparse,FDGE,3000,15,2269.094,2030.538,1685.492
24,Sparse,FA2,500,15,93.759,42.923,43.032000000000004
25,Sparse,FA2,1000,15,164.821,167.585,119.666
26,Sparse,FA2,2000,15,680.1800000000001,637.297,476.726
27,Sparse,FA2,3000,15,1455.108,1643.5720000000001,1308.5
28,Sparse,DH,500,15,24.932000000000002,35.903,67.529
29,Sparse,DH,1000,15,140.624,186.01,217.418
30,Sparse,DH,2000,15,448.82800000000003,635.2760000000001,521.576
31,Sparse,DH,3000,15,1049.193,1465.109,1001.6370000000001
