,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Sparse,FR,500,15,186.104,58.444,71.843
1,Sparse,FR,1000,15,163.959,163.586,180.482
2,Sparse,FR,2000,15,630.825,734.037,537.472
3,Sparse,FR,3000,15,1302.077,1771.3500000000001,1166.903
4,Sparse,FA2,500,15,93.759,42.923,43.032000000000004
5,Sparse,FA2,1000,15,164.821,167.585,119.666
6,Sparse,FA2,2000,15,680.1800000000001,637.297,476.726
7,Sparse,FA2,3000,15,1455.108,1643.5720000000001,1308.5
8,Sparse,JIGGLE,500,15,49.392,48.874,54.855000000000004
9,Sparse,JIGGLE,1000,15,221.703,179.425,122.15
10,Sparse,JIGGLE,2000,15,606.615,781.618,534.737
11,Sparse,JIGGLE,3000,15,1614.4950000000001,1789.969,1276.155
12,Sparse,KK,500,15,48.488,62.359,45.01
13,Sparse,KK,1000,15,235.47400000000002,172.549,160.824
14,Sparse,KK,2000,15,495.407,779.766,617.349
15,Sparse,KK,3000,15,969.72,1592.407,998.945
