,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Uniform,FR,500,15,57.134,132.466,40.066
1,Uniform,FR,1000,15,133.641,175.845,225.39600000000002
2,Uniform,FR,2000,15,717.062,830.534,640.842
3,Uniform,FR,3000,15,1275.588,2531.201,1236.81
4,Uniform,FA2,500,15,49.124,80.971,54.0
5,Uniform,FA2,1000,15,156.805,198.435,138.934
6,Uniform,FA2,2000,15,533.116,789.076,574.65
7,Uniform,FA2,3000,15,1437.345,1760.1770000000001,1643.604
8,Uniform,JIGGLE,500,15,52.178000000000004,62.497,58.173
9,Uniform,JIGGLE,1000,15,134.615,218.697,149.6
10,Uniform,JIGGLE,2000,15,548.628,813.759,604.395
11,Uniform,JIGGLE,3000,15,1057.883,1651.923,1088.1290000000001
12,Uniform,KK,500,15,46.872,49.743,75.797
13,Uniform,KK,1000,15,152.624,190.048,198.927
14,Uniform,KK,2000,15,567.777,749.549,504.65000000000003
15,Uniform,KK,3000,15,855.8870000000001,1561.595,968.727
