,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Uniform,KK_W,500,6,66.182,62.455,85.83500000000001
1,Uniform,KK_W,1000,6,194.805,218.696,187.499
2,Uniform,KK_W,2000,6,856.118,888.38,663.1080000000001
3,Uniform,KK_W,3000,6,1410.042,1809.596,1305.5230000000001
4,Uniform,KK,500,6,68.84100000000001,109.378,61.859
5,Uniform,KK,1000,6,232.595,218.668,206.609
6,Uniform,KK,2000,6,561.532,810.624,557.059
7,Uniform,KK,3000,6,1041.323,1748.6580000000001,1182.482
8,Uniform,JIGGLE,500,6,51.01,62.484,68.846
9,Uniform,JIGGLE,1000,6,167.726,218.729,180.738
10,Uniform,JIGGLE,2000,6,804.644,893.964,597.796
11,Uniform,JIGGLE,3000,6,1459.816,1774.468,1469.33
12,Uniform,FRU,500,6,64.257,78.07300000000001,65.981
13,Uniform,FRU,1000,6,192.757,458.567,207.407
14,Uniform,FRU,2000,6,538.625,779.2330000000001,589.092
15,Uniform,FRU,3000,6,1388.022,2048.944,1243.674
16,Uniform,FR,500,6,139.123,162.136,54.853
17,Uniform,FR,1000,6,178.59,228.41,221.406
18,Uniform,FR,2000,6,639.681,962.493,639.321
19,Uniform,FR,3000,6,1596.068,3321.0840000000003,1391.6960000000001
20,Uniform,FDGE,500,6,84.889,65.113,236.397
21,Uniform,FDGE,1000,6,210.983,270.219,215.424
22,Uniform,FDGE,2000,6,814.291,966.662,708.378
23,Uniform,FDGE,3000,6,1772.8220000000001,1944.932,1615.6770000000001
24,Uniform,FA2,500,6,69.393,76.924,66.821
25,Uniform,FA2,1000,6,178.64600000000002,207.619,169.547
26,Uniform,FA2,2000,6,598.668,851.8100000000001,568.722
27,Uniform,FA2,3000,6,1344.4080000000001,1875.272,1346.792
28,Uniform,DH,500,6,62.142,73.121,51.176
29,Uniform,DH,1000,6,156.102,172.538,96.946
30,Uniform,DH,2000,6,455.914,1809.8400000000001,365.641
31,Uniform,DH,3000,6,1151.323,1680.452,907.998
