,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Sparse,KK_W,500,6,72.199,66.837,59.013
1,Sparse,KK_W,1000,6,235.755,215.423,189.565
2,Sparse,KK_W,2000,6,522.779,734.633,464.411
3,Sparse,KK_W,3000,6,1374.3120000000001,1755.645,1158.593
4,Sparse,KK,500,6,53.410000000000004,63.684000000000005,74.85300000000001
5,Sparse,KK,1000,6,161.875,190.06,129.882
6,Sparse,KK,2000,6,559.816,762.618,638.292
7,Sparse,KK,3000,6,1074.586,1800.525,1219.946
8,Sparse,JIGGLE,500,6,57.274,52.947,65.606
9,Sparse,JIGGLE,1000,6,145.645,170.412,102.72500000000001
10,Sparse,JIGGLE,2000,6,514.699,766.847,422.42400000000004
11,Sparse,JIGGLE,3000,6,1332.4080000000001,1859.025,1338.792
12,Sparse,FRU,500,6,49.019,43.143,51.958
13,Sparse,FRU,1000,6,147.698,213.504,188.525
14,Sparse,FRU,2000,6,559.5500000000001,706.894,444.475
15,Sparse,FRU,3000,6,1127.676,1827.269,982.4540000000001
16,Sparse,FR,500,6,1075.1580000000001,62.36,38.895
17,Sparse,FR,1000,6,190.614,190.519,181.089
18,Sparse,FR,2000,6,631.789,765.9540000000001,529.7570000000001
19,Sparse,FR,3000,6,1370.362,1633.2440000000001,1322.2730000000001
20,Sparse,FDGE,500,6,100.018,47.904,56.984
21,Sparse,FDGE,1000,6,197.708,204.453,176.77100000000002
22,Sparse,FDGE,2000,6,947.3670000000001,760.958,581.768
23,Sparse,FDGE,3000,6,1391.663,1759.262,1164.684
24,Sparse,FA2,500,6,81.718,44.875,45.205
25,Sparse,FA2,1000,6,185.745,161.54,135.93
26,Sparse,FA2,2000,6,607.005,747.0360000000001,508.639
27,Sparse,FA2,3000,6,1363.653,1769.243,1208.771
28,Sparse,DH,500,6,35.905,38.892,40.991
29,Sparse,DH,1000,6,169.54500000000002,213.428,171.541
30,Sparse,DH,2000,6,448.8,611.398,449.815
31,Sparse,DH,3000,6,1030.246,1349.359,934.004
