ccl_grana_filename,ccl_grana_processing_time(ms),ccl_wu_processing_time(ms),findContours_processing_time(ms),ccl_grana < findContours,ccl_wu < findContours
..\ccl_data\jpg_files\Sparse\DH\n=1000d=10_49.jpg,188496,177555,164618,,
..\ccl_data\jpg_files\Sparse\DH\n=1000d=12_49.jpg,135636,200468,190522,1,
..\ccl_data\jpg_files\Sparse\DH\n=1000d=15_47.jpg,140624,186010,217418,1,1
..\ccl_data\jpg_files\Sparse\DH\n=1000d=6_46.jpg,169545,213428,171541,1,
..\ccl_data\jpg_files\Sparse\DH\n=1000d=8_44.jpg,170543,270214,195317,1,
..\ccl_data\jpg_files\Sparse\DH\n=2000d=10_10.jpg,484704,777416,549546,1,
..\ccl_data\jpg_files\Sparse\DH\n=2000d=12_10.jpg,522628,685166,614356,1,
..\ccl_data\jpg_files\Sparse\DH\n=2000d=15_10.jpg,448828,635276,521576,1,
..\ccl_data\jpg_files\Sparse\DH\n=2000d=6_11.jpg,448800,611398,449815,1,
..\ccl_data\jpg_files\Sparse\DH\n=2000d=8_10.jpg,452818,620312,389927,,
..\ccl_data\jpg_files\Sparse\DH\n=3000d=10_5.jpg,1030270,1408233,949123,,
..\ccl_data\jpg_files\Sparse\DH\n=3000d=12_4.jpg,986332,1379310,907541,,
..\ccl_data\jpg_files\Sparse\DH\n=3000d=15_4.jpg,1049193,1465109,1001637,,
..\ccl_data\jpg_files\Sparse\DH\n=3000d=6_5.jpg,1030246,1349359,934004,,
..\ccl_data\jpg_files\Sparse\DH\n=3000d=8_5.jpg,992376,1385294,877306,,
..\ccl_data\jpg_files\Sparse\DH\n=500d=10_212.jpg,28923,34904,63869,1,1
..\ccl_data\jpg_files\Sparse\DH\n=500d=12_196.jpg,27925,38896,47897,1,1
..\ccl_data\jpg_files\Sparse\DH\n=500d=15_204.jpg,24932,35903,67529,1,1
..\ccl_data\jpg_files\Sparse\DH\n=500d=6_231.jpg,35905,38892,40991,1,1
..\ccl_data\jpg_files\Sparse\DH\n=500d=8_220.jpg,27953,40886,30166,1,
..\ccl_data\jpg_files\Sparse\FA2\n=1000d=10_7617.jpg,191199,169544,115711,,
..\ccl_data\jpg_files\Sparse\FA2\n=1000d=12_7393.jpg,204583,171542,172708,,1
